Rating,Time,Year,Plays,Skips
40,158,1966,16,2
40,179,1966,21,3
40,158,1966,16,0
40,148,1965,15,2
60,151,1965,21,3
60,142,1965,17,1
60,146,1965,27,1
80,146,1965,19,5
60,162,1965,22,3
60,124,1965,17,1
40,163,1965,13,1
40,141,1965,17,1
60,163,1965,18,2
40,138,1965,28,2
60,134,1965,24,2
40,168,1965,16,2
40,199,1965,32,1
80,337,1967,28,1
40,157,1967,10,4
60,156,1967,15,1
60,168,1967,31,0
60,161,1967,20,1
60,162,1967,20,4
40,208,1967,20,2
60,122,1967,26,0
60,79,1967,26,1
60,215,1967,21,1
40,157,1967,22,5
40,164,1967,19,1
40,304,1967,9,3
80,163,1968,18,2
80,138,1968,20,1
40,235,1968,14,1
40,230,1968,10,3
40,137,1968,27,3
40,164,1968,11,3
40,105,1968,19,1
60,123,1968,26,1
40,176,1968,14,0
80,148,1968,20,1
60,188,1968,19,1
40,124,1968,9,3
40,213,1968,11,4
60,194,1968,19,1
60,285,1968,24,1
40,101,1968,11,5
40,52,1968,16,6
60,163,1968,8,2
40,182,1968,18,2
60,144,1968,22,5
40,193,1968,3,10
40,269,1968,17,4
40,161,1968,19,3
60,186,1968,20,2
40,168,1968,9,0
20,255,1968,9,8
20,502,1968,1,6
40,174,1968,12,5
40,195,1968,11,2
40,240,1968,6,4
40,122,1963,14,2
40,127,1963,15,2
60,146,1963,17,1
40,148,1963,20,3
40,151,1963,19,4
60,119,1963,21,1
40,133,1963,19,4
40,106,1963,15,3
60,169,1963,5,4
40,126,1963,7,3
40,154,1963,12,9
60,165,1963,18,1
40,133,1963,10,3
40,181,1963,18,5
60,130,1969,20,5
80,231,1967,16,2
60,191,1969,25,0
40,385,1969,8,3
20,139,1969,2,11
40,204,1969,7,9
20,140,1969,0,10
20,132,1969,1,5
20,136,1969,0,12
20,216,1969,0,7
20,180,1969,0,2
40,159,1966,24,2
20,134,1969,2,14
80,354,2009,30,0
40,187,2000,12,3
40,322,2000,20,3
60,203,2010,22,2
80,211,2010,39,0
40,225,2011,31,0
60,251,2011,16,0
40,210,2006,2,0
40,223,2006,1,0
40,206,2006,5,0
60,355,2006,5,0
40,222,2006,3,0
40,180,2006,7,1
40,261,2006,3,0
40,261,2006,3,0
40,276,2006,4,0
40,164,2006,3,0
80,208,2006,10,0
60,203,2007,14,0
40,179,2006,8,6
40,257,2004,12,5
40,210,2007,17,0
60,226,2007,26,2
40,224,1983,24,2
60,223,2004,23,2
20,281,2003,8,5
40,222,2003,12,0
60,220,1999,32,0
60,186,1999,19,1
80,227,1979,25,1
80,189,1999,25,0
80,199,2007,40,0
60,250,2009,18,1
60,202,2010,20,1
40,205,2010,6,3
40,162,2010,3,5
40,223,2010,7,3
40,213,2010,12,4
40,194,2010,17,2
40,267,2010,3,7
40,167,2010,13,4
40,238,2010,5,2
40,217,2010,20,0
80,221,2011,39,0
80,227,2006,46,1
60,256,2011,43,0
40,469,1985,9,3
40,170,1985,13,3
40,147,2006,7,4
40,426,2006,13,2
40,160,2007,7,4
40,195,2007,9,4
40,223,2008,15,6
60,215,2007,19,1
80,197,2007,30,1
60,262,2005,12,5
40,236,2005,14,6
40,232,2006,10,4
40,212,2008,26,2
80,210,1997,32,0
40,334,1967,7,2
40,313,1997,26,2
60,166,1997,20,1
60,163,1997,18,0
60,198,1998,2,2
40,145,1997,31,1
40,172,1997,11,3
60,200,1997,24,1
60,225,2008,21,2
40,176,2008,30,0
80,411,2008,40,0
60,245,2008,23,4
40,259,2003,15,7
80,185,2008,36,3
60,213,2008,34,1
80,253,2008,45,0
60,184,2008,22,0
80,284,2008,35,2
60,278,2008,24,1
60,218,2008,31,2
40,253,2008,13,7
80,301,2004,33,0
60,194,2004,25,4
60,306,2004,25,1
60,190,2004,27,1
80,345,2004,28,4
60,244,2004,32,3
40,242,2004,17,2
80,222,2004,45,0
60,258,2004,23,1
80,234,2004,39,1
40,197,2004,20,4
40,297,2009,9,1
40,354,2009,14,0
40,387,2009,14,3
40,328,2009,7,1
60,290,2009,8,1
60,267,2009,11,2
40,250,2009,14,0
40,233,2009,11,2
40,262,2009,12,1
40,242,2009,6,1
40,244,2009,7,0
40,257,2009,18,0
40,200,2009,11,1
40,323,2009,14,0
40,263,2009,12,1
40,218,2009,11,1
60,283,2009,16,0
40,248,2006,24,2
80,227,2006,31,0
60,49,2006,30,0
60,146,2006,29,3
60,212,2006,14,1
60,248,2006,23,1
80,246,2006,30,1
60,246,2006,19,3
60,278,2006,34,0
80,265,2006,30,0
80,220,2006,38,0
60,264,2006,17,3
60,285,2007,40,0
80,254,2007,35,0
60,256,2007,19,1
40,218,2007,12,2
60,229,2007,29,0
20,528,2007,0,9
60,327,2007,35,3
60,185,2007,27,1
80,223,2007,27,2
40,247,2007,11,5
40,166,2007,23,4
60,258,2007,34,1
40,230,2007,19,0
60,225,2007,26,3
60,153,2007,32,0
60,206,2007,24,0
60,222,2007,26,0
60,166,2008,27,1
60,203,2006,23,1
60,99,2006,9,0
60,158,2006,28,0
60,169,2006,18,3
60,188,2011,15,0
80,163,2008,23,0
60,161,2008,28,1
60,170,2008,21,0
40,180,2008,19,3
60,216,2008,29,0
60,194,2008,17,1
40,211,2008,12,2
20,199,2008,10,3
20,202,2008,14,0
60,216,2008,18,0
40,290,1993,13,2
40,300,2003,17,3
60,193,1995,21,1
40,239,2002,6,5
